epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.232,1.08606,2.22967,2.92793,1.31842,0.61336,0.56462,0.57774,0.37907,0.57253,0.52583,0.50711,0.29327,1.11093,1.7179,1.48472,1.29023,0.00333172,0.00333172,0.00333172
2,1178.98,1.21745,1.91655,2.25099,1.41258,0.5521,0.51566,0.50906,0.31224,0.51848,0.48222,0.45216,0.2478,1.27962,1.80956,1.6065,1.43065,0.00659907,0.00659907,0.00659907
3,1706.41,1.35649,2.04172,2.42521,1.5236,0.40895,0.40031,0.35808,0.20387,0.37597,0.37033,0.30368,0.1543,1.42834,2.00964,2.06618,1.62426,0.00980042,0.00980042,0.00980042
4,2237.61,1.42269,2.08597,2.474,1.58825,0.42661,0.43297,0.38728,0.21913,0.38835,0.3927,0.335,0.17476,1.39597,1.99615,1.91093,1.57751,0.009703,0.009703,0.009703
5,2768.14,1.36219,2.05384,2.26803,1.55059,0.51052,0.47535,0.46799,0.28218,0.46982,0.43269,0.40472,0.21813,1.31544,1.86818,1.70312,1.52433,0.009604,0.009604,0.009604
6,3298.26,1.32014,2.00623,2.12066,1.51644,0.55301,0.49976,0.5174,0.32186,0.51221,0.45565,0.45369,0.25285,1.26664,1.86347,1.61238,1.48288,0.009505,0.009505,0.009505
7,3828.39,1.29066,1.99015,2.01825,1.49172,0.57891,0.5134,0.52845,0.32735,0.53564,0.47222,0.46398,0.25942,1.23109,1.8096,1.50879,1.44119,0.009406,0.009406,0.009406
8,4358.76,1.26448,1.93138,1.94822,1.4723,0.61549,0.5446,0.58273,0.37391,0.57343,0.50535,0.51591,0.29466,1.2162,1.76327,1.40593,1.43118,0.009307,0.009307,0.009307
9,4890.18,1.2382,1.93912,1.86739,1.45391,0.65896,0.56221,0.61591,0.39903,0.61625,0.5211,0.54436,0.31507,1.18118,1.73495,1.35229,1.39711,0.009208,0.009208,0.009208
10,5421.23,1.21627,1.89614,1.82034,1.43779,0.65744,0.57084,0.62612,0.41356,0.61816,0.52833,0.56382,0.33155,1.1636,1.69311,1.30173,1.36832,0.009109,0.009109,0.009109
